Language,Count
Arabic,736
Chinese,16
Czech,73
Danish,122
Dutch,272
English,243479
Estonian,212
Finnish,343
French,421
Georgian,1
German,280
Greek,3
Haitian,581
Hebrew,11
Hindi,85
Hungarian,39
Icelandic,36
Indonesian,540
Italian,176
Japanese,143
Korean,2
Latvian,32
Lithuanian,66
Nepali,1
Norwegian,114
Panjabi,1
Polish,124
Portuguese,475
Romanian,53
Russian,21
Slovenian,11
Spanish,1395
Swedish,115
Tagalog,799
Telugu,3
Thai,51
Turkish,108
Undetected,22354
Urdu,3
Vietnamese,43
Welsh,127
